Mulliken charges:,Mulliken charges:,Mulliken charges:,
1  N   -0.249425,1  N   -0.444188,1  N   -0.283414,
2  C    0.164650,2  C    0.285619,2  C    0.138731,
3  O   -0.251347,3  O   -0.333326,3  O   -0.276880,
4  N   -0.094693,4  N   -0.190220,4  N   -0.089212,
5  C    0.090035,5  C    0.275274,5  C    0.131265,
6  O   -0.273534,6  O   -0.293269,6  O   -0.246730,
7  C   -0.029738,7  C   -0.010362,7  C   -0.021064,
8  N   -0.248692,8  N   -0.309253,8  N   -0.171633,
9  C    0.062701,9  C    0.086780,9  C    0.039268,
10  C    0.001045,10  C    0.040725,10  C    0.007028,
11  C   -0.089947,11  C   -0.185892,11  C   -0.098730,
12  C    0.003276,12  C    0.032163,12  C   -0.000008,
13  C   -0.132034,13  C   -0.184260,13  C   -0.121288,
14  C   -0.000309,14  C    0.031027,14  C    0.000677,
15  C   -0.006763,15  C    0.005038,15  C   -0.016851,
16  C    0.199462,16  C    0.319362,16  C    0.224356,
17  N   -0.235281,17  N   -0.438198,17  N   -0.253996,
18  C    0.278472,18  C    0.447881,18  C    0.259861,
19  C    0.015370,19  C    0.048030,19  C    0.013184,
20  H    0.120957,20  H    0.116965,20  H    0.122830,
21  H   -0.010381,21  H    0.001601,21  H   -0.008447,
22  H    0.079539,22  H    0.073465,22  H    0.069681,
23  H    0.055599,23  H    0.052216,23  H    0.049992,
24  H    0.080014,24  H    0.073407,24  H    0.069602,
25  H    0.071138,25  H    0.081180,25  H    0.075174,
26  H    0.051366,26  H    0.055020,26  H    0.052391,
27  H    0.071386,27  H    0.081116,27  H    0.075085,
28  H    0.010364,28  H    0.024197,28  H    0.007035,
29  H    0.092903,29  H    0.088827,29  H    0.089707,
30  H    0.081451,30  H    0.080247,30  H    0.072690,
31  H    0.092415,31  H    0.088828,31  H    0.089697,
